"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8661","TC-RV-RT-10 Concurrent requests performance (5 parallel admin category calls)","","2026-08-24","passed","2026-08-24","⏱️ Response Time Validation (All Key APIs < 5s)","","",""
"","191","CONTACT_US-1-POS-PERF: [Positive/Perf] Create contact us message should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for contact_us","","",""
"","190","TC-UP-05 [NEGATIVE] Empty upload (no file) → not 500","","2026-08-24","passed","2026-08-24","📤 Salon Profile — File Upload Tests","","",""
"","286","SALON_ORDERS-10-SEC-SQL: [Security] Reject an order should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for salon_orders","","",""
"","1144","TC-05: Should fail to create address without title","","2026-08-24","passed","2026-08-24","Create Address API Tests","","",""
"","201","WEB_ADMIN-59-SEC-SQL: [Security] Reject an order should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","207","TC-REG-POS-01: [Positive/Status/Schema] Should register new user successfully","","2026-08-24","passed","2026-08-24","Exhaustive Registration Tests","","",""
"","192","TC-MP-03 [NEGATIVE] No auth → 401","","2026-08-24","passed","2026-08-24","📧 Admin Mail Provider Settings — Tests","","",""
"","195","TC-09: Should fail to update address without auth token","","2026-08-24","passed","2026-08-24","Update Address API Tests","","",""
"","188","TC-RBAC-NT-Salon commissions → 401 without token","","2026-08-24","passed","2026-08-24","🔒 No Token → Protected Endpoints (Must be 401)","","",""
"","333","TC-ADMIN-USER-SEARCH-SEC-sqlInjection3: Admin search users SQLi/XSS (SQLi Dropper)","","2026-08-24","passed","2026-08-24","👤 Users - Profile & Admin Management","","",""
"","250","WEB_ADMIN-68-POS-PERF: [Positive/Perf] List all service types should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","220","TC-CAT-GET-SEC-sqlInjection1: Admin get category by SQLi/XSS ID (SQLi Boolean Base)","","2026-08-24","passed","2026-08-24","🗂️ Categories, Type Services & Services","","",""
"","238","TC-BANKACCT-ADD-SEC-xssImg: User add bank account SQLi/XSS (XSS Image Error)","","2026-08-24","passed","2026-08-24","💰 Financial - Banks, Wallet & Cards","","",""
"","931","ORDERS_RESTORE-1-BND-PAG: [Boundary] Restore a cancelled order should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for orders_restore","","",""
"","190","WEB_ADMIN-78-NEG-AUTH: [Negative/Auth] Toggle service status should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","813","TC-CART-SEC-PROMO-2 [SECURITY] SQL inject promo code: ""' OR 1=1--""","","2026-08-24","passed","2026-08-24","🎫 Cart — Promo Code Tests","","",""
"","215","TC-BLOG-CREATE-SEC-noSqlInjection2: Admin create blog post SQLi/XSS (NoSQLi Greater Than)","","2026-08-24","passed","2026-08-24","📝 Content Management (Blogs, Pages, FAQs, Privacy Policy)","","",""
"","527","WEB_ADMIN-124-SEC-SQL: [Security] Get Salons List for Report Filter should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","191","TC-L-DT-02 [DATATYPE] Array as password → handled, not 500","","2026-08-24","passed","2026-08-24","🔢 Admin Login — Data Type Tests","","",""
"","285","TC-CAT-CREATE-VAL-massiveNumber: Admin create category missing/invalid fields (Massive Number)","","2026-08-24","passed","2026-08-24","🗂️ Categories, Type Services & Services","","",""
"","248","TC-CAT-14 [BOUNDARY] Very long category name (255 chars) → not 500","","2026-08-24","passed","2026-08-24","📏 Admin Categories — Boundary & Invalid Type Tests","","",""
"","217","TC-ADMIN-CREATE-VAL-nullValue: Create admin invalid email (Null Value)","","2026-08-24","passed","2026-08-24","👑 Admin / Admins Management","","",""
"","191","TC-RV-SC-02 POST admin login invalid credentials → 4xx (not 2xx, not 5xx)","","2026-08-24","passed","2026-08-24","📋 Status Code Validation","","",""
"","832","CART_ADD_PROMO-1-POS-PERF: [Positive/Perf] Apply promo code to cart should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for cart_add_promo","","",""
"","278","TC-USER-01: Get my profile","","2026-08-24","passed","2026-08-24","👤 Users - Profile & Admin Management","","",""
"","214","TC-ADMIN-SERV-SEC-htmlInjection: Admin list services SQLi/XSS in search query (HTML Injection)","","2026-08-24","passed","2026-08-24","🗂️ Categories, Type Services & Services","","",""
"","198","TC-RV-EM-01 Login wrong credentials — error message is human-readable string","","2026-08-24","passed","2026-08-24","📝 Error Message Format Validation","","",""
"","286","WEB_ADMIN-49-POS-PERF: [Positive/Perf] Get VIP status of a salon should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","288","TC-RV-SCHEMA-05 Admin overview response schema","","2026-08-24","passed","2026-08-24","📐 Response Schema Validation","","",""
"","231","TC-CAT-CREATE-SEC-sqlInjection2: Admin create category with SQLi/XSS (SQLi Comment)","","2026-08-24","passed","2026-08-24","🗂️ Categories, Type Services & Services","","",""
"","196","BLOGS-1-SEC-SQL: [Security] Get public blogs should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for blogs","","",""
"","271","TC-01: Should get admin wallet overview","","2026-08-24","passed","2026-08-24","Admin - Wallet Tests","","",""
"","251","SALON_PROFILE-1-BND-PAG: [Boundary] Get authenticated salon uploaded files (SalonInfo records) should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for salon_profile","","",""
"","229","WEB_ADMIN-9-SEC-SQL: [Security] Update User should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","191","TC-09: Should get list of districts","","2026-08-24","passed","2026-08-24","Districts API Tests","","",""
"","209","LOCATIONS_CITIES-1-POS-PERF: [Positive/Perf] Get cities should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for locations_cities","","",""
"","495","TC-PAG-06 [EDGE] /api/v1/web/admin/salons limit=10000 → not 500","","2026-08-24","passed","2026-08-24","📄 Pagination Tests — Admin Endpoints","","",""
"","194","TC-VRC-03 [NEGATIVE] Wrong code format (letters) → not 500","","2026-08-24","passed","2026-08-24","🔑 Verify Reset Code — Tests","","",""
"","208","PAGES-1-POS-PERF: [Positive/Perf] Get public page by url should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for pages","","",""
"","228","TC-VIP-VAL-emptyStrings: Admin create VIP config with invalid name (Empty String)","","2026-08-24","passed","2026-08-24","👤 Users - Profile & Admin Management","","",""
"","227","WEB_ADMIN-41-POS-PERF: [Positive/Perf] Update a salon should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","269","TC-CAT-PAG-04 [EDGE] page=9999 → 200 with empty data","","2026-08-24","passed","2026-08-24","📄 Admin Categories — Pagination & Filter","","",""
"","190","WEB_ADMIN-14-NEG-AUTH: [Negative/Auth] List Admins should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","1","TC-13: Should delete offer","","2026-08-24","passed","2026-08-24","Web Salon Offers Tests","","",""
"","231","WEB_ADMIN-42-POS-PERF: [Positive/Perf] Delete a salon should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","192","WEB_ADMIN-97-NEG-AUTH: [Negative/Auth] Accept balance request — credits user wallet should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","533","TC-SEC-SQL-LOGINPW-04 SQL inject admin login password: ""' UNION SELECT username,passwo""","","2026-08-24","passed","2026-08-24","💉 SQL Injection Tests — All Key Input Points","","",""
"","193","TC-CS-03 [NEGATIVE] No auth → 401","","2026-08-24","passed","2026-08-24","🔌 Admin Connection Settings — Tests","","",""
"","260","TC-OVERVIEW: Artist Statistics","","2026-08-24","passed","2026-08-24","📊 Admin / Overview","","",""
"","191","TC-AUTH-REG-SEC-htmlInjection: Send OTP SQLi/XSS (HTML Injection)","","2026-08-24","passed","2026-08-24","🔐 Auth - User Auth","","",""
"","371","TC-03: Should get users with role filter","","2026-08-24","passed","2026-08-24","Admin - List Users Tests","","",""
"","190","WEB_ADMIN-22-NEG-AUTH: [Negative/Auth] Get Dashboard Overview should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","194","TC-CT-04 [INVALID] Invalid email format in support_email → not 500","","2026-08-24","passed","2026-08-24","📞 Admin Contact Settings — Tests","","",""
"","250","WEB_ADMIN-8-SEC-SQL: [Security] Get User Details should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","191","GUEST_CART-5-BND-PAG: [Boundary] Delete item from guest cart should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for guest_cart","","",""
"","236","TC-SC-08 [RESPONSE-TIME] Commissions < 5s","","2026-08-24","passed","2026-08-24","💰 Salon Commissions & Calendar — Tests","","",""
"","297","TC-24: Should delete type-service","","2026-08-24","passed","2026-08-24","Admin - Type Services Tests","","",""
"","991","TC-PROF-BND-02: [Boundary] Update profile with empty name","","2026-08-24","passed","2026-08-24","Exhaustive Profile Tests","","",""
"","540","TC-L-12 [BOUNDARY] Very long password (1000 chars) → not 200","","2026-08-24","passed","2026-08-24","📏 Admin Login — Boundary Value Tests","","",""
"","232","TC-23: Should get single type-service","","2026-08-24","passed","2026-08-24","Admin - Type Services Tests","","",""
"","831","ADDRESS-1-POS-PERF: [Positive/Perf] List customer addresses should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for address","","",""
"","863","PACKAGES_SHOW-1-BND-PAG: [Boundary] Get package details should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for packages_show","","",""
"","189","TC-RT-09 [NEGATIVE] Missing Bearer prefix → not 200","","2026-08-24","passed","2026-08-24","❌ User Refresh Token — Negative Tests","","",""
"","413","SALON_CATEGORIES-1-SEC-SQL: [Security] All categories should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for salon_categories","","",""
"","193","USER_PROFILE-1-NEG-AUTH: [Negative/Auth] Get current user profile should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for user_profile","","",""
"","193","TC-CONFIG-SEC-noSqlInjection1: Get app version with SQLi/XSS platform (NoSQLi Not Equal)","","2026-08-24","passed","2026-08-24","⚙️ App Config","","",""
"","191","WEB_ADMIN-30-NEG-AUTH: [Negative/Auth] List Permission Groups should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","194","TC-VC-03 [NEGATIVE] Non-existent phone number → not 200","","2026-08-24","passed","2026-08-24","❌ Verify Code — Negative Tests","","",""
"","1970","TC-SALON-PUB-SEARCH-SEC-sqlInjection2: Guest search salons SQLi/XSS (SQLi Comment)","","2026-08-24","passed","2026-08-24","💇 Salons","","",""
"","220","TC-CAT-11 [NEGATIVE] Delete non-existent category → not 500","","2026-08-24","passed","2026-08-24","❌ Admin Categories — Negative Tests","","",""
"","1008","OFFERS_SHOW-1-BND-PAG: [Boundary] Get offer details should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for offers_show","","",""
"","193","LOCATIONS_STATES-1-POS-PERF: [Positive/Perf] Get states should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for locations_states","","",""
"","192","TC-VC-06 [NEGATIVE] Empty body → not 200","","2026-08-24","passed","2026-08-24","❌ Verify Code — Negative Tests","","",""
"","300","TC-15: Should get version log statistics","","2026-08-24","passed","2026-08-24","Admin App Config Versions Tests","","",""
"","195","TC-VC-RV-02 [RESPONSE-TIME] Verify code response < 5s","","2026-08-24","passed","2026-08-24","📊 Verify Code — Response Validation","","",""
"","212","WEB_ADMIN-125-SEC-SQL: [Security] Get Categories List for Report Filter should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","221","TC-REG-POS-02: [Positive] Should register company type successfully","","2026-08-24","passed","2026-08-24","Exhaustive Registration Tests","","",""
"","189","TC-RT-RV-02 [SCHEMA] Error response has message","","2026-08-24","passed","2026-08-24","📊 User Refresh Token — Response Validation","","",""
"","274","WEB_ADMIN-86-POS-PERF: [Positive/Perf] Get all app versions should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","189","TC-FP-BV-05 [BOUNDARY] Float phone → not 500","","2026-08-24","passed","2026-08-24","📏 Forgot Password — Boundary Values","","",""
"","190","TC-GUEST-CART-11 [NEGATIVE] Choose payment without session → not 500","","2026-08-24","passed","2026-08-24","💳 Guest Cart — Payment & Checkout Tests","","",""
"","863","TC-16: Should fail rating without order_id","","2026-08-24","passed","2026-08-24","Rate Order Tests","","",""
"","255","TC-SVC-05 [NEGATIVE] Non-existent service ID → not 500","","2026-08-24","passed","2026-08-24","⚙️ Admin Services — Full Tests","","",""
"","228","WEB_ADMIN-106-SEC-SQL: [Security] Update Role should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","199","TC-RP-07 [SECURITY] SQL inject in reset token URL → not 500","","2026-08-24","passed","2026-08-24","🔒 Reset Password — Tests","","",""
"","193","TC-L-11 [BOUNDARY] Very long email (>250 chars) → not 200","","2026-08-24","passed","2026-08-24","📏 Admin Login — Boundary Value Tests","","",""
"","192","GUEST_SALONS-3-BND-PAG: [Boundary] List salon offers (guest) should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for guest_salons","","",""
"","238","WEB_ADMIN-100-POS-PERF: [Positive/Perf] Get Live Operations Feed should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","192","LOCATIONS_STATES-1-BND-PAG: [Boundary] Get states should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for locations_states","","",""
"","240","TC-PAG-09 [INVALID] /api/v1/web/admin/categories page=abc → not 500","","2026-08-24","passed","2026-08-24","📄 Pagination Tests — Admin Endpoints","","",""
"","210","TC-02: Should create new web salon service","","2026-08-24","passed","2026-08-24","Web Salon Services Tests","","",""
"","190","TC-WALLET-01: Admin accept wallet balance","","2026-08-24","passed","2026-08-24","Admin Wallet & Commissions Tests","","",""
"","237","TC-RBAC-CR-01 Admin token on /api/v1/orders/i → should be denied or empty","","2026-08-24","passed","2026-08-24","🔀 Admin Token → User Endpoints (Behavior Check)","","",""
"","192","TC-CAT-RBAC-01: Admin list categories with Missing Header → 401/403","","2026-08-24","passed","2026-08-24","🗂️ Categories, Type Services & Services","","",""
"","247","TC-10: Should create new salon offer","","2026-08-24","passed","2026-08-24","Web Salon Offers Tests","","",""
"","291","TC-07: Should get admin blogs list","","2026-08-24","passed","2026-08-24","Admin - Blogs Tests","","",""
"","214","WEB_ADMIN-113-SEC-SQL: [Security] Delete Role User Permission should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","250","TC-14: Should update role","","2026-08-24","passed","2026-08-24","Admin - Roles Management Tests","","",""
"","211","TC-ADMIN-CREATE-VAL-undefinedValue: Create admin invalid email (Undefined Value)","","2026-08-24","passed","2026-08-24","👑 Admin / Admins Management","","",""
"","189","GUEST_PACKAGES-2-SEC-SQL: [Security] Get package details (guest) should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for guest_packages","","",""
"","280","WEB_ADMIN-61-POS-PERF: [Positive/Perf] List all categories should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
